Rank,Level,star1,star2,star3,star4,star5,star6
employee,newcomer,10,12,14,17,21,25
employee,beginner,30,36,43,52,62,75
employee,faithful,70,84,101,121,145,174
employee,expert,150,180,216,259,311,373
employee,excellent,310,372,446,536,643,771
employee,elite,630,756,907,1089,1306,1568
employee,master,0,0,0,0,0,0
manager,newcomer,0,0,700,840,1008,1210
manager,beginner,0,0,3000,3600,4320,5184
manager,faithful,0,0,7000,8400,10080,12096
manager,expert,0,0,15000,18000,21600,25920
manager,excellent,0,0,31000,37200,44640,53568
manager,elite,0,0,63000,75600,90720,108864
manager,master,0,0,0,0,0,0
owner,newcomer,0,0,0,30000,36000,43200
owner,beginner,0,0,0,180000,216000,259200
owner,faithful,0,0,0,420000,504000,604800
owner,expert,0,0,0,900000,1080000,1296000
owner,excellent,0,0,0,1860000,2232000,2678400
owner,elite,0,0,0,3780000,4536000,5443200
owner,master,0,0,0,0,0,0
